,block,pattern,controller
0,zgroup_a0_v0,MemoryBist_P1,zblock_u0_zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST12_NON_REPAIR_BitSlice_130_controller_inst
1,zgroup_a0_v0,MemoryBist_P1,zblock_u2_zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST9_NON_REPAIR_BitSlice_130_controller_inst
2,zgroup_a0_v0,MemoryBist_P1,zblock_u3_zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST7_NON_REPAIR_BitSlice_130_controller_inst
3,zgroup_a0_v0,MemoryBist_P1,zblock_u3_zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST8_NON_REPAIR_BitSlice_130_controller_inst
4,zgroup_a0_v0,MemoryBist_P1,zblock_u4_zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST6_NON_REPAIR_BitSlice_130_controller_inst
5,zgroup_a0_v0,MemoryBist_P1,zblock_u5_zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST2_NON_REPAIR_BitSlice_130_controller_inst
6,zgroup_a0_v0,MemoryBist_P1,zblock_u6_zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST3_NON_REPAIR_BitSlice_130_controller_inst
7,zgroup_a0_v0,MemoryBist_P1,zblock_u8_zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST15_NON_REPAIR_BitSlice_130_controller_inst
8,zgroup_a0_v0,MemoryBist_P1,zblock_u8_zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST16_NON_REPAIR_BitSlice_130_controller_inst
9,zgroup_a0_v0,MemoryBist_P1,zblock_u9_zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST13_NON_REPAIR_BitSlice_130_controller_inst
10,zgroup_a0_v0,MemoryBist_P1,zblock_u9_zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST14_NON_REPAIR_BitSlice_130_controller_inst
11,zgroup_a0_v0,MemoryBist_P1,zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST10_NON_REPAIR_BitSlice_130_controller_inst
12,zgroup_a0_v0,MemoryBist_P1,zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST11_NON_REPAIR_BitSlice_130_controller_inst
13,zgroup_a0_v0,MemoryBist_P1,zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST1_NON_REPAIR_BitSlice_130_controller_inst
14,zgroup_a0_v0,MemoryBist_P1,zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST4_NON_REPAIR_BitSlice_130_controller_inst
15,zgroup_a0_v0,MemoryBist_P1,zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST5_NON_REPAIR_BitSlice_130_controller_inst
16,zgroup_a0_v0,MemoryBist_ParallelRetentionTest_P1,zblock_u0_zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST12_NON_REPAIR_BitSlice_130_controller_inst
17,zgroup_a0_v0,MemoryBist_ParallelRetentionTest_P1,zblock_u2_zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST9_NON_REPAIR_BitSlice_130_controller_inst
18,zgroup_a0_v0,MemoryBist_ParallelRetentionTest_P1,zblock_u3_zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST7_NON_REPAIR_BitSlice_130_controller_inst
19,zgroup_a0_v0,MemoryBist_ParallelRetentionTest_P1,zblock_u3_zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST8_NON_REPAIR_BitSlice_130_controller_inst
20,zgroup_a0_v0,MemoryBist_ParallelRetentionTest_P1,zblock_u4_zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST6_NON_REPAIR_BitSlice_130_controller_inst
21,zgroup_a0_v0,MemoryBist_ParallelRetentionTest_P1,zblock_u5_zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST2_NON_REPAIR_BitSlice_130_controller_inst
22,zgroup_a0_v0,MemoryBist_ParallelRetentionTest_P1,zblock_u6_zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST3_NON_REPAIR_BitSlice_130_controller_inst
23,zgroup_a0_v0,MemoryBist_ParallelRetentionTest_P1,zblock_u8_zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST15_NON_REPAIR_BitSlice_130_controller_inst
24,zgroup_a0_v0,MemoryBist_ParallelRetentionTest_P1,zblock_u8_zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST16_NON_REPAIR_BitSlice_130_controller_inst
25,zgroup_a0_v0,MemoryBist_ParallelRetentionTest_P1,zblock_u9_zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST13_NON_REPAIR_BitSlice_130_controller_inst
26,zgroup_a0_v0,MemoryBist_ParallelRetentionTest_P1,zblock_u9_zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST14_NON_REPAIR_BitSlice_130_controller_inst
27,zgroup_a0_v0,MemoryBist_ParallelRetentionTest_P1,zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST10_NON_REPAIR_BitSlice_130_controller_inst
28,zgroup_a0_v0,MemoryBist_ParallelRetentionTest_P1,zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST11_NON_REPAIR_BitSlice_130_controller_inst
29,zgroup_a0_v0,MemoryBist_ParallelRetentionTest_P1,zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST1_NON_REPAIR_BitSlice_130_controller_inst
30,zgroup_a0_v0,MemoryBist_ParallelRetentionTest_P1,zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST4_NON_REPAIR_BitSlice_130_controller_inst
31,zgroup_a0_v0,MemoryBist_ParallelRetentionTest_P1,zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST5_NON_REPAIR_BitSlice_130_controller_inst
32,zgroup_a0_v0,MemoryBist_P1_sample,zgroup_a0_v0_gate_tessent_mbist_sys_clk_MBIST5_NON_REPAIR_BitSlice_130_controller_inst
33,qmu_top,MemoryBisr_BisrChainAccess,.
34,qmu_top,MemoryBisr_BisrChainAccess,.
35,qmu_top,MemoryBisr_BisrChainAccess,.
36,qmu_top,MemoryBist_P1,.
37,qmu_top,MemoryBist_P1,qmu_share_mem_u0_qmu_share_mem0_u0_cmdsch_cmd_ram_u0_qmu_cmdsch_cmd_ram_1r1w_65536x51_wrapper_u1_ues_gmem_1r1w_1clk_mem_wrapper_gmem_qmu_top_gate_tessent_mbist_sys_clk_MBIST4_REPAIR_BISR_controller_inst
38,qmu_top,MemoryBist_P1,qmu_share_mem_u0_qmu_share_mem0_u0_cmdsch_cmd_ram_u0_qmu_cmdsch_cmd_ram_1r1w_65536x51_wrapper_u1_ues_gmem_1r1w_1clk_mem_wrapper_gmem_qmu_top_gate_tessent_mbist_sys_clk_MBIST5_REPAIR_BISR_controller_inst
39,qmu_top,MemoryBist_P1,qmu_share_mem_u0_qmu_share_mem0_u0_cmdsch_cmd_ram_u0_qmu_cmdsch_cmd_ram_1r1w_65536x51_wrapper_u1_ues_gmem_1r1w_1clk_mem_wrapper_gmem_qmu_top_gate_tessent_mbist_sys_clk_MBIST6_REPAIR_BISR_controller_inst
40,qmu_top,MemoryBist_P1,qmu_share_mem_u0_qmu_share_mem0_u0_cmdsch_cmd_ram_u0_qmu_cmdsch_cmd_ram_1r1w_65536x51_wrapper_u3_ues_gmem_1r1w_1clk_mem_wrapper_gmem_qmu_top_gate_tessent_mbist_sys_clk_MBIST11_REPAIR_BISR_controller_inst
41,qmu_top,MemoryBist_P1,qmu_share_mem_u0_qmu_share_mem0_u0_cmdsch_cmd_ram_u0_qmu_cmdsch_cmd_ram_1r1w_65536x51_wrapper_u3_ues_gmem_1r1w_1clk_mem_wrapper_gmem_qmu_top_gate_tessent_mbist_sys_clk_MBIST12_REPAIR_BISR_controller_inst
42,qmu_top,MemoryBist_P1,qmu_share_mem_u0_qmu_share_mem0_u0_cmdsch_cmd_ram_u0_qmu_cmdsch_cmd_ram_1r1w_65536x51_wrapper_u3_ues_gmem_1r1w_1clk_mem_wrapper_gmem_qmu_top_gate_tessent_mbist_sys_clk_MBIST13_REPAIR_BISR_controller_inst
43,qmu_top,MemoryBist_P1,qmu_share_mem_u0_qmu_share_mem0_u0_cmdsch_cmd_ram_u0_qmu_top_gate_tessent_mbist_sys_clk_MBIST10_REPAIR_BISR_controller_inst
44,qmu_top,MemoryBist_P1,qmu_share_mem_u0_qmu_share_mem0_u0_cmdsch_cmd_ram_u0_qmu_top_gate_tessent_mbist_sys_clk_MBIST1_REPAIR_BISR_controller_inst
45,qmu_top,MemoryBist_P1,qmu_share_mem_u0_qmu_share_mem0_u0_cmdsch_cmd_ram_u0_qmu_top_gate_tessent_mbist_sys_clk_MBIST2_REPAIR_BISR_controller_inst
46,qmu_top,MemoryBist_P1,qmu_share_mem_u0_qmu_share_mem0_u0_cmdsch_cmd_ram_u0_qmu_top_gate_tessent_mbist_sys_clk_MBIST3_REPAIR_BISR_controller_inst
47,qmu_top,MemoryBist_P1,qmu_share_mem_u0_qmu_share_mem0_u0_cmdsch_cmd_ram_u0_qmu_top_gate_tessent_mbist_sys_clk_MBIST7_REPAIR_BISR_controller_inst
48,qmu_top,MemoryBist_P1,qmu_share_mem_u0_qmu_share_mem0_u0_cmdsch_cmd_ram_u0_qmu_top_gate_tessent_mbist_sys_clk_MBIST8_REPAIR_BISR_controller_inst
49,qmu_top,MemoryBist_P1,qmu_share_mem_u0_qmu_share_mem0_u0_cmdsch_cmd_ram_u0_qmu_top_gate_tessent_mbist_sys_clk_MBIST9_REPAIR_BISR_controller_inst
50,qmu_top,MemoryBist_P1,qmu_share_mem_u0_qmu_share_mem0_u0_cmdsch_free_list_ram_u0_qmu_cmdsch_list_ram_1r1w_65536x18_wrapper_u0_ues_gmem_1r1w_1clk_mem_wrapper_gmem_qmu_top_gate_tessent_mbist_sys_clk_MBIST137_REPAIR_BISR_controller_inst
